id,agent,n_steps_src,n_steps_trg,nllik_org,nllik_opp
66dae86be0d77b33d6805623,72.0,1,1,0.6947644948959351,0.5322722792625427
5e3c407472a17401e4754bd0,75.0,1,1,0.5806717872619629,0.5683631300926208
64e114532a07493224e3a5a1,82.0,1,1,0.5357053875923157,0.5493940711021423
615e056d45156d8d481b5856,85.0,1,1,0.4948041141033172,0.7258898019790649
66ce527e14f31490d3e5e44b,91.0,1,1,0.4805855453014374,0.5306097865104675
64e7533f36d388e8b31d3309,4.0,1,2,0.4701843857765198,0.5430457592010498
6646052f36c0bd14aafa0f0f,7.0,1,2,0.5302056074142456,0.5360944271087646
607ec7379eac7be04ab448e3,15.0,1,2,0.6214151978492737,0.5300863981246948
5e13ff1b94d5eea33e200fce,20.0,1,2,0.6152951121330261,0.5420438051223755
6006ae13a40ec00348555219,22.0,1,2,0.6913123726844788,0.5306980609893799
6692d088fc492a0498191caf,31.0,1,2,0.6497364044189453,0.5322234034538269
61190367632a534f9e11b013,34.0,1,2,0.5305718779563904,0.5424920916557312
666b0a3508c2f3faa9cd0057,37.0,1,2,0.4665469825267792,0.5409890413284302
66d9ae66f6f721f4db56007c,39.0,1,2,0.5100513696670532,0.5361778140068054
66159b3aa54492fae356f2d1,40.0,1,2,0.4209441542625427,0.5481851100921631
5f4469a101c96e20702a9ece,43.0,1,2,0.4791105687618255,0.5402446389198303
66aa651e21c9af8ebcd8081e,47.0,1,2,0.4147094488143921,0.5396877527236938
5ed9c3054268815691ed0e2c,49.0,1,2,0.4411922693252563,0.5414502620697021
5e9fd839311b8018f88c99eb,63.0,1,2,0.828750491142273,0.5186779499053955
66715c98b42ef93f2389ce3f,67.0,1,2,0.6835523247718811,0.5280332565307617
66dae86be0d77b33d6805623,72.0,1,2,0.53387850522995,0.5535626411437988
5e3c407472a17401e4754bd0,75.0,1,2,0.4586165845394134,0.539279043674469
64e114532a07493224e3a5a1,82.0,1,2,0.3842021226882934,0.5468353629112244
615e056d45156d8d481b5856,85.0,1,2,0.4261753857135772,0.540393590927124
66ce527e14f31490d3e5e44b,91.0,1,2,0.599021315574646,0.535780668258667
64e7533f36d388e8b31d3309,4.0,2,1,0.4860030710697174,0.5662974715232849
6646052f36c0bd14aafa0f0f,7.0,2,1,0.5673702359199524,0.5620115399360657
